x,t,h
-1.000000000000000000e+00,0.000000000000000000e+00,-6.440014112740755081e-04
-9.899497487437185494e-01,0.000000000000000000e+00,6.018611416220664978e-02
-9.798994974874372099e-01,0.000000000000000000e+00,1.183852851390838623e-01
-9.698492462311557594e-01,0.000000000000000000e+00,1.737249791622161865e-01
-9.597989949748744198e-01,0.000000000000000000e+00,2.261874377727508545e-01
-9.497487437185929693e-01,0.000000000000000000e+00,2.758278548717498779e-01
-9.396984924623115187e-01,0.000000000000000000e+00,3.226535022258758545e-01
-9.296482412060301792e-01,0.000000000000000000e+00,3.665626943111419678e-01
-9.195979899497487287e-01,0.000000000000000000e+00,4.073300063610076904e-01
-9.095477386934673891e-01,0.000000000000000000e+00,4.446522891521453857e-01
-8.994974874371859386e-01,0.000000000000000000e+00,4.782209098339080811e-01
-8.894472361809044880e-01,0.000000000000000000e+00,5.078012347221374512e-01
-8.793969849246231485e-01,0.000000000000000000e+00,5.332837104797363281e-01
-8.693467336683416979e-01,0.000000000000000000e+00,5.546960234642028809e-01
-8.592964824120603584e-01,0.000000000000000000e+00,5.721792578697204590e-01
-8.492462311557789079e-01,0.000000000000000000e+00,5.859478712081909180e-01
-8.391959798994974573e-01,0.000000000000000000e+00,5.962430834770202637e-01
-8.291457286432161178e-01,0.000000000000000000e+00,6.033043861389160156e-01
-8.190954773869346672e-01,0.000000000000000000e+00,6.073425412178039551e-01
-8.090452261306533277e-01,0.000000000000000000e+00,6.085320711135864258e-01
-7.989949748743718771e-01,0.000000000000000000e+00,6.070098280906677246e-01
-7.889447236180904266e-01,0.000000000000000000e+00,6.028828024864196777e-01
-7.788944723618089760e-01,0.000000000000000000e+00,5.962355732917785645e-01
-7.688442211055276365e-01,0.000000000000000000e+00,5.871432423591613770e-01
-7.587939698492462970e-01,0.000000000000000000e+00,5.756832361221313477e-01
-7.487437185929648464e-01,0.000000000000000000e+00,5.619460940361022949e-01
-7.386934673366833959e-01,0.000000000000000000e+00,5.460436940193176270e-01
-7.286432160804019453e-01,0.000000000000000000e+00,5.281183123588562012e-01
-7.185929648241206058e-01,0.000000000000000000e+00,5.083418488502502441e-01
-7.085427135678392663e-01,0.000000000000000000e+00,4.869156181812286377e-01
-6.984924623115578157e-01,0.000000000000000000e+00,4.640636742115020752e-01
-6.884422110552763652e-01,0.000000000000000000e+00,4.400260150432586670e-01
-6.783919597989949146e-01,0.000000000000000000e+00,4.150472581386566162e-01
-6.683417085427135751e-01,0.000000000000000000e+00,3.893685042858123779e-01
-6.582914572864322356e-01,0.000000000000000000e+00,3.632192313671112061e-01
-6.482412060301507850e-01,0.000000000000000000e+00,3.368106782436370850e-01
