x,t,h
4.545454545454545858e-01,0.000000000000000000e+00,5.753730982542037964e-02
4.747474747474749179e-01,0.000000000000000000e+00,3.494255989789962769e-02
4.949494949494950280e-01,0.000000000000000000e+00,7.114937994629144669e-03
5.151515151515153601e-01,0.000000000000000000e+00,-2.594328857958316803e-02
5.353535353535354702e-01,0.000000000000000000e+00,-6.403435021638870239e-02
5.555555555555555802e-01,0.000000000000000000e+00,-1.067420318722724915e-01
5.757575757575759123e-01,0.000000000000000000e+00,-1.534284502267837524e-01
5.959595959595960224e-01,0.000000000000000000e+00,-2.032401114702224731e-01
6.161616161616163545e-01,0.000000000000000000e+00,-2.551431059837341309e-01
6.363636363636364646e-01,0.000000000000000000e+00,-3.080035746097564697e-01
6.565656565656567967e-01,0.000000000000000000e+00,-3.606682419776916504e-01
6.767676767676769067e-01,0.000000000000000000e+00,-4.119713306427001953e-01
6.969696969696970168e-01,0.000000000000000000e+00,-4.606223404407501221e-01
7.171717171717173489e-01,0.000000000000000000e+00,-5.051074624061584473e-01
7.373737373737374590e-01,0.000000000000000000e+00,-5.437389612197875977e-01
7.575757575757577911e-01,0.000000000000000000e+00,-5.748293995857238770e-01
7.777777777777779011e-01,0.000000000000000000e+00,-5.968405604362487793e-01
7.979797979797982332e-01,0.000000000000000000e+00,-6.084343791007995605e-01
8.181818181818183433e-01,0.000000000000000000e+00,-6.084772944450378418e-01
8.383838383838384534e-01,0.000000000000000000e+00,-5.960389375686645508e-01
8.585858585858587855e-01,0.000000000000000000e+00,-5.703545212745666504e-01
8.787878787878788955e-01,0.000000000000000000e+00,-5.307652950286865234e-01
8.989898989898992276e-01,0.000000000000000000e+00,-4.767114520072937012e-01
9.191919191919193377e-01,0.000000000000000000e+00,-4.078147113323211670e-01
9.393939393939394478e-01,0.000000000000000000e+00,-3.239936828613281250e-01
9.595959595959597799e-01,0.000000000000000000e+00,-2.257511466741561890e-01
9.797979797979798899e-01,0.000000000000000000e+00,-1.152336671948432922e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.854947302490472794e-03
-1.000000000000000000e+00,1.000000000000000021e-02,1.978775952011346817e-03
-9.797979797979797789e-01,1.000000000000000021e-02,1.233960315585136414e-01
-9.595959595959595578e-01,1.000000000000000021e-02,2.382973879575729370e-01
-9.393939393939394478e-01,1.000000000000000021e-02,3.400980234146118164e-01
-9.191919191919192267e-01,1.000000000000000021e-02,4.253079295158386230e-01
-8.989898989898990056e-01,1.000000000000000021e-02,4.936439692974090576e-01
-8.787878787878787845e-01,1.000000000000000021e-02,5.466392636299133301e-01
-8.585858585858585634e-01,1.000000000000000021e-02,5.857918262481689453e-01
-8.383838383838383423e-01,1.000000000000000021e-02,6.116192340850830078e-01
-8.181818181818181213e-01,1.000000000000000021e-02,6.240636706352233887e-01
-7.979797979797980112e-01,1.000000000000000021e-02,6.234394907951354980e-01
-7.777777777777777901e-01,1.000000000000000021e-02,6.108976602554321289e-01
-7.575757575757575690e-01,1.000000000000000021e-02,5.881611704826354980e-01
-7.373737373737373479e-01,1.000000000000000021e-02,5.569749474525451660e-01
-7.171717171717171269e-01,1.000000000000000021e-02,5.187352895736694336e-01
-6.969696969696970168e-01,1.000000000000000021e-02,4.744819998741149902e-01
-6.767676767676766847e-01,1.000000000000000021e-02,4.252006411552429199e-01
-6.565656565656565746e-01,1.000000000000000021e-02,3.722224831581115723e-01
-6.363636363636363535e-01,1.000000000000000021e-02,3.173977136611938477e-01
-6.161616161616161325e-01,1.000000000000000021e-02,2.627102732658386230e-01
-5.959595959595959114e-01,1.000000000000000021e-02,2.095638960599899292e-01
-5.757575757575756903e-01,1.000000000000000021e-02,1.586207598447799683e-01
-5.555555555555555802e-01,1.000000000000000021e-02,1.104412004351615906e-01
-5.353535353535352481e-01,1.000000000000000021e-02,6.594043225049972534e-02
-5.151515151515151381e-01,1.000000000000000021e-02,2.613615058362483978e-02
-4.949494949494949170e-01,1.000000000000000021e-02,-8.281061425805091858e-03
-4.747474747474746959e-01,1.000000000000000021e-02,-3.707236796617507935e-02
-4.545454545454544748e-01,1.000000000000000021e-02,-6.033004075288772583e-02
-4.343434343434342537e-01,1.000000000000000021e-02,-7.830262929201126099e-02
-4.141414141414141437e-01,1.000000000000000021e-02,-9.128368645906448364e-02
-3.939393939393939226e-01,1.000000000000000021e-02,-9.958411008119583130e-02
-3.737373737373737015e-01,1.000000000000000021e-02,-1.035525873303413391e-01
-3.535353535353534804e-01,1.000000000000000021e-02,-1.036119535565376282e-01
-3.333333333333332593e-01,1.000000000000000021e-02,-1.002807691693305969e-01
-3.131313131313130382e-01,1.000000000000000021e-02,-9.416890889406204224e-02
-2.929292929292928171e-01,1.000000000000000021e-02,-8.595008403062820435e-02
-2.727272727272727071e-01,1.000000000000000021e-02,-7.631535083055496216e-02
-2.525252525252524860e-01,1.000000000000000021e-02,-6.592375785112380981e-02
-2.323232323232322649e-01,1.000000000000000021e-02,-5.536068230867385864e-02
-2.121212121212120438e-01,1.000000000000000021e-02,-4.511392861604690552e-02
-1.919191919191918227e-01,1.000000000000000021e-02,-3.556472808122634888e-02
-1.717171717171716017e-01,1.000000000000000021e-02,-2.698935009539127350e-02
-1.515151515151514916e-01,1.000000000000000021e-02,-1.956916786730289459e-02
-1.313131313131312705e-01,1.000000000000000021e-02,-1.340092159807682037e-02
-1.111111111111110494e-01,1.000000000000000021e-02,-8.505651727318763733e-03
-9.090909090909082835e-02,1.000000000000000021e-02,-4.837939050048589706e-03
-7.070707070707060726e-02,1.000000000000000021e-02,-2.294489648193120956e-03
-5.050505050505038618e-02,1.000000000000000021e-02,-7.227748283185064793e-04
-3.030303030303027612e-02,1.000000000000000021e-02,7.402006303891539574e-05
-1.010101010101005503e-02,1.000000000000000021e-02,3.323465934954583645e-04
